Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4954849,-,b'Metropolitan Manila',b'Philippines',14.6,120.97,0,10,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,DNI,DHI,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,Cloud Type,Clearsky DNI,Clearsky DHI
2019,1,1,0,0,26,272,272,399,132,93.57000000000001,70,2.4000000000000004,0.1,1,399,132
2019,1,1,1,0,26.5,472,248,47,223,91.99,69,2.7,0.1,2,576,165
2019,1,1,2,0,27.1,633,313,41,286,88.52,69,3.1,0.1,3,666,184
2019,1,1,3,0,27.700000000000003,744,442,94,371,84.39,71,3.4000000000000004,0.1,3,743,178
2019,1,1,4,0,28.200000000000003,779,540,174,402,81.14,74,3.6,0.1,3,753,183
2019,1,1,5,0,28.3,744,744,747,176,79.99,76,3.8000000000000003,0.1,1,747,176
2019,1,1,6,0,28.200000000000003,650,386,99,319,79.68,78,3.9000000000000004,0.1,3,755,142
2019,1,1,7,0,27.900000000000002,491,174,3,172,80.49,79,3.7,0.1,3,704,118
2019,1,1,8,0,27.1,292,292,594,86,84.09,80,3.5,0.1,1,594,86
2019,1,1,9,0,26,85,64,129,47,88.82000000000001,78,3,0.1,3,302,45
2019,1,1,10,0,25.400000000000002,0,0,0,0,91.37,77,2.9000000000000004,0.1,4,0,0
2019,1,1,11,0,25.1,0,0,0,0,92.47,77,2.8000000000000003,0.1,3,0,0
2019,1,1,12,0,24.900000000000002,0,0,0,0,93.23,77,2.8000000000000003,0.1,4,0,0
2019,1,1,13,0,24.8,0,0,0,0,93.36,77,2.8000000000000003,0.1,3,0,0
2019,1,1,14,0,24.6,0,0,0,0,94.06,76,2.6,0.1,3,0,0
2019,1,1,15,0,24.400000000000002,0,0,0,0,94.57000000000001,76,2.5,0.1,3,0,0
2019,1,1,16,0,24.3,0,0,0,0,94.65,75,2.5,0.1,3,0,0
2019,1,1,17,0,24.200000000000003,0,0,0,0,94.75,76,2.5,0.1,4,0,0
2019,1,1,18,0,24.1,0,0,0,0,94.73,78,2.5,0.1,3,0,0
2019,1,1,19,0,24,0,0,0,0,94.89,81,2.5,0.1,3,0,0
2019,1,1,20,0,24,0,0,0,0,94.56,82,2.5,0.1,3,0,0
2019,1,1,21,0,23.900000000000002,0,0,0,0,94.93,83,2.4000000000000004,0.1,7,0,0
2019,1,1,22,0,24.1,0,0,0,0,94.14,83,2.4000000000000004,0.1,7,0,0
2019,1,1,23,0,25.1,91,70,161,48,91.8,81,2.8000000000000003,0.1,7,364,42
2019,1,2,0,0,26.3,307,307,672,73,86.95,79,3.2,0.1,1,672,73
2019,1,2,1,0,27.5,514,514,793,92,79.60000000000001,77,3.7,0.1,1,793,92
2019,1,2,2,0,28.400000000000002,675,503,280,315,74.31,75,3.9000000000000004,0.1,2,835,112
2019,1,2,3,0,28.900000000000002,773,773,835,136,71.77,74,4,0.1,1,835,136
2019,1,2,4,0,29.1,807,564,205,401,70.86,75,4,0.1,2,835,145
2019,1,2,5,0,29.1,767,489,141,382,70.99,77,3.9000000000000004,0.1,2,812,148
2019,1,2,6,0,28.8,659,285,27,267,72.47,78,3.8000000000000003,0.1,2,764,144
2019,1,2,7,0,28.1,494,494,691,126,76.15,79,3.6,0.1,1,691,126
2019,1,2,8,0,27.200000000000003,290,225,253,137,81.69,81,3.1,0.1,3,555,97
2019,1,2,9,0,26.200000000000003,84,15,0,15,87.54,83,2.4000000000000004,0.1,3,261,49
2019,1,2,10,0,25.700000000000003,0,0,0,0,90.61,84,2,0.1,1,0,0
2019,1,2,11,0,25.5,0,0,0,0,91.53,83,1.9000000000000001,0.1,1,0,0
