Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4954849,-,b'Metropolitan Manila',b'Philippines',14.6,120.97,0,10,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,DNI,DHI,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,Cloud Type,Clearsky DNI,Clearsky DHI
2020,1,1,0,0,27,304,304,655,75,85.82000000000001,65,3.8000000000000003,0.1,1,655,75
2020,1,1,1,0,28.1,510,381,281,232,79.61,65,4.3,0.1,3,774,97
2020,1,1,2,0,29,671,483,241,321,74.39,65,4.7,0.1,3,821,117
2020,1,1,3,0,29.6,772,211,6,206,70.93,66,4.800000000000001,0.1,3,831,138
2020,1,1,4,0,29.900000000000002,805,184,4,181,69.13,66,4.800000000000001,0.1,3,826,150
2020,1,1,5,0,29.8,766,338,32,314,69.28,68,4.7,0.1,3,806,153
2020,1,1,6,0,29.5,659,659,765,145,70.49,68,4.6000000000000005,0.1,1,765,145
2020,1,1,7,0,28.8,494,494,695,126,73.57000000000001,68,4.4,0.1,1,695,126
2020,1,1,8,0,27.700000000000003,291,291,569,95,79.07000000000001,68,4,0.1,1,569,95
2020,1,1,9,0,26.5,84,84,283,47,85.13,69,3.4000000000000004,0.1,0,283,47
2020,1,1,10,0,25.900000000000002,0,0,0,0,88.43,69,3.1,0.1,3,0,0
2020,1,1,11,0,25.700000000000003,0,0,0,0,89.65,70,2.9000000000000004,0.1,1,0,0
2020,1,1,12,0,25.5,0,0,0,0,91,72,2.7,0.1,3,0,0
2020,1,1,13,0,25.400000000000002,0,0,0,0,91.63,74,2.6,0.1,3,0,0
2020,1,1,14,0,25.3,0,0,0,0,92.04,75,2.6,0.1,1,0,0
2020,1,1,15,0,25.200000000000003,0,0,0,0,92.37,74,2.8000000000000003,0.1,1,0,0
2020,1,1,16,0,25.1,0,0,0,0,92.5,74,2.9000000000000004,0.1,1,0,0
2020,1,1,17,0,25,0,0,0,0,92.4,73,3,0.1,1,0,0
2020,1,1,18,0,24.8,0,0,0,0,92.72,73,3.1,0.1,3,0,0
2020,1,1,19,0,24.700000000000003,0,0,0,0,92.59,73,3.1,0.1,3,0,0
2020,1,1,20,0,24.6,0,0,0,0,92.81,73,3.1,0.1,1,0,0
2020,1,1,21,0,24.6,0,0,0,0,92.94,73,3.1,0.1,1,0,0
2020,1,1,22,0,24.8,0,0,0,0,92.29,70,3.2,0.1,1,0,0
2020,1,1,23,0,25.700000000000003,91,91,346,44,89.75,68,3.5,0.1,0,346,44
2020,1,2,0,0,26.900000000000002,307,307,664,76,84.43,65,4,0.1,0,664,76
2020,1,2,1,0,28.1,514,514,780,99,77.34,63,4.4,0.1,0,780,99
2020,1,2,2,0,29,676,487,249,320,72.47,63,4.6000000000000005,0.1,2,826,119
2020,1,2,3,0,29.6,780,780,847,134,69.45,63,4.7,0.1,1,847,134
2020,1,2,4,0,29.8,817,496,124,398,68.24,62,4.6000000000000005,0.1,2,860,135
2020,1,2,5,0,29.700000000000003,779,502,157,382,68.13,62,4.5,0.1,3,851,131
2020,1,2,6,0,29.3,671,219,8,213,69.27,62,4.4,0.1,4,810,126
2020,1,2,7,0,28.700000000000003,504,289,95,239,71.86,62,4.2,0.1,3,735,113
2020,1,2,8,0,27.6,297,243,334,127,77.43,60,3.8000000000000003,0.1,2,601,88
2020,1,2,9,0,26.3,86,86,294,47,84.05,59,3.3000000000000003,0.1,0,294,47
2020,1,2,10,0,25.700000000000003,0,0,0,0,87.33,59,3.2,0.1,1,0,0
2020,1,2,11,0,25.400000000000002,0,0,0,0,88.81,59,3.2,0.1,1,0,0
2020,1,2,12,0,25.200000000000003,0,0,0,0,89.49,59,3.1,0.1,1,0,0
2020,1,2,13,0,25,0,0,0,0,90.10000000000001,58,3.1,0.1,1,0,0
2020,1,2,14,0,24.8,0,0,0,0,90.43,55,3.1,0.1,1,0,0
2020,1,2,15,0,24.6,0,0,0,0,90.75,55,3.1,0.1,1,0,0
2020,1,2,16,0,24.400000000000002,0,0,0,0,91.12,56,3.1,0.1,3,0,0
2020,1,2,17,0,24.200000000000003,0,0,0,0,91.60000000000001,57,3,0.1,8,0,0
2020,1,2,18,0,24.1,0,0,0,0,91.45,57,3,0.1,3,0,0
2020,1,2,19,0,23.900000000000002,0,0,0,0,92.03,57,3,0.1,7,0,0
2020,1,2,20,0,23.8,0,0,0,0,92.08,56,3,0.1,8,0,0
2020,1,2,21,0,23.700000000000003,0,0,0,0,91.93,57,3.1,0.1,8,0,0
2020,1,2,22,0,23.700000000000003,0,0,0,0,91.43,58,3.2,0.1,7,0,0
2020,1,2,23,0,24.5,90,81,278,44,88.07000000000001,59,3.5,0.1,7,347,44
2020,1,3,0,0,25.700000000000003,307,263,428,114,82.39,61,3.9000000000000004,0.1,2,655,79
2020,1,3,1,0,26.900000000000002,515,454,518,178,75.37,62,4.2,0.1,8,773,104
2020,1,3,2,0,27.8,680,585,497,251,70.73,64,4.3,0.1,8,825,124
2020,1,3,3,0,28.5,787,787,855,134,67.83,66,4.2,0.1,1,855,134
2020,1,3,4,0,28.900000000000002,823,823,863,138,66.54,68,4,0.1,1,863,138
2020,1,3,5,0,29,784,462,111,377,66.13,68,3.9000000000000004,0.1,2,850,135
2020,1,3,6,0,28.8,677,192,4,190,66.89,67,3.7,0.1,3,817,126
2020,1,3,7,0,28.1,508,91,0,91,69.75,66,3.6,0.1,3,734,117
2020,1,3,8,0,27,299,299,589,93,74.95,63,3.2,0.1,0,589,93
2020,1,3,9,0,25.5,89,89,298,48,82.52,61,2.6,0.1,0,298,48
2020,1,3,10,0,24.700000000000003,0,0,0,0,86.62,59,2.4000000000000004,0.1,1,0,0
2020,1,3,11,0,24.3,0,0,0,0,88.7,58,2.2,0.1,1,0,0
2020,1,3,12,0,24,0,0,0,0,90.26,58,2.2,0.1,1,0,0
2020,1,3,13,0,23.8,0,0,0,0,90.98,57,2.2,0.1,1,0,0
2020,1,3,14,0,23.5,0,0,0,0,92.17,57,2.2,0.1,1,0,0
2020,1,3,15,0,23.3,0,0,0,0,92.85000000000001,56,2.1,0.1,1,0,0
2020,1,3,16,0,23.1,0,0,0,0,93.55,54,2.1,0.1,1,0,0
2020,1,3,17,0,23,0,0,0,0,93.76,50,2.1,0.1,1,0,0
2020,1,3,18,0,22.900000000000002,0,0,0,0,94.27,45,2.1,0.1,1,0,0
2020,1,3,19,0,22.900000000000002,0,0,0,0,94.11,43,2.1,0.1,3,0,0
2020,1,3,20,0,22.900000000000002,0,0,0,0,94.10000000000001,41,2.1,0.1,1,0,0
2020,1,3,21,0,22.900000000000002,0,0,0,0,94.73,40,2.1,0.1,1,0,0
2020,1,3,22,0,23.200000000000003,0,0,0,0,94.02,42,2.4000000000000004,0.1,1,0,0
2020,1,3,23,0,24.400000000000002,89,89,344,43,90.01,44,2.9000000000000004,0.1,0,344,43
2020,1,4,0,0,25.900000000000002,307,307,677,72,84.08,53,3.5,0.1,0,677,72
2020,1,4,1,0,27.400000000000002,517,517,801,91,76.63,60,3.9000000000000004,0.1,0,801,91
2020,1,4,2,0,28.400000000000002,680,680,849,108,71.32000000000001,64,4,0.1,0,849,108
2020,1,4,3,0,29,791,371,45,336,68.18,66,3.9000000000000004,0.1,2,892,109
2020,1,4,4,0,29.400000000000002,825,825,889,118,66.12,67,3.8000000000000003,0.1,1,889,118
2020,1,4,5,0,29.3,787,365,42,333,66.11,68,3.7,0.1,2,869,122
2020,1,4,6,0,28.900000000000002,678,71,0,71,67.37,67,3.8000000000000003,0.1,3,819,124
2020,1,4,7,0,28.1,511,511,748,110,70.44,67,3.7,0.1,1,748,110
2020,1,4,8,0,27,306,306,628,85,75.71000000000001,66,3.5,0.1,0,628,85
2020,1,4,9,0,25.6,93,12,0,12,82.94,66,2.9000000000000004,0.1,3,348,45
2020,1,4,10,0,24.8,0,0,0,0,87.37,67,2.8000000000000003,0.1,1,0,0
2020,1,4,11,0,24.5,0,0,0,0,88.93,67,2.8000000000000003,0.1,1,0,0
2020,1,4,12,0,24.200000000000003,0,0,0,0,90.23,68,2.7,0.1,3,0,0
2020,1,4,13,0,24,0,0,0,0,91.03,69,2.5,0.1,3,0,0
2020,1,4,14,0,23.8,0,0,0,0,92,68,2.4000000000000004,0.1,7,0,0
2020,1,4,15,0,23.700000000000003,0,0,0,0,92.22,66,2.4000000000000004,0.1,1,0,0
2020,1,4,16,0,23.5,0,0,0,0,92.71000000000001,65,2.5,0.1,1,0,0
2020,1,4,17,0,23.3,0,0,0,0,92.92,64,2.6,0.1,1,0,0
2020,1,4,18,0,23.1,0,0,0,0,93.05,63,2.7,0.1,3,0,0
2020,1,4,19,0,23,0,0,0,0,92.67,62,2.9000000000000004,0.1,1,0,0
2020,1,4,20,0,22.900000000000002,0,0,0,0,92.44,62,3,0.1,1,0,0
2020,1,4,21,0,22.8,0,0,0,0,92.39,61,3.1,0.1,1,0,0
2020,1,4,22,0,22.900000000000002,0,0,0,0,91.58,59,3.3000000000000003,0.1,1,0,0
2020,1,4,23,0,23.900000000000002,84,45,2,45,87.49,59,3.7,0.1,3,251,51
2020,1,5,0,0,25.400000000000002,296,180,105,144,79.33,61,4.4,0.1,3,575,97
2020,1,5,1,0,26.700000000000003,503,348,203,241,71.49,62,4.9,0.1,2,711,125
2020,1,5,2,0,27.6,669,367,80,313,66.94,63,5,0.1,2,774,147
2020,1,5,3,0,28.1,782,188,4,185,64.66,63,5,0.1,3,833,146
2020,1,5,4,0,28.400000000000002,820,446,79,383,63.25,64,4.9,0.1,2,840,151
2020,1,5,5,0,28.3,785,785,830,149,63.27,65,4.800000000000001,0.1,0,830,149
2020,1,5,6,0,27.900000000000002,680,680,801,137,64.44,65,4.7,0.1,0,801,137
2020,1,5,7,0,27.3,514,514,727,123,66.58,66,4.5,0.1,1,727,123
2020,1,5,8,0,26.3,306,103,0,103,71.11,66,4.1000000000000005,0.1,3,591,97
2020,1,5,9,0,25,92,92,278,53,77.82000000000001,65,3.4000000000000004,0.1,0,278,53
2020,1,5,10,0,24.3,0,0,0,0,82.3,63,3.1,0.1,1,0,0
