latitude,longitude,number,mean_ws10
21.875,121.125,0,8.458588
21.375,120.625,0,8.427235
21.375,121.125,0,8.352536
20.875,120.625,0,8.3255825
18.875,120.125,0,8.296281
20.875,120.125,0,8.252
19.375,120.125,0,8.20877
20.875,121.125,0,8.197367
20.375,120.625,0,8.192157
19.875,120.125,0,8.189152
20.375,120.125,0,8.187954
19.875,119.625,0,8.16112
19.375,119.625,0,8.159224
18.875,119.625,0,8.129335
19.875,120.625,0,8.126223
20.375,119.625,0,8.122036
19.375,120.625,0,8.107759
20.375,121.125,0,8.09863
21.875,121.625,0,8.09713
19.375,119.125,0,8.060846
