latitude,longitude,weibull_k
17.375,120.125,1.4777786551162904
16.875,120.125,1.4822728102636753
17.375,119.625,1.492779960651926
16.875,119.625,1.5049873489496095
16.875,119.125,1.556024692788634
17.375,119.125,1.5745760367256403
15.375,120.625,1.595174050035676
17.875,119.625,1.598900847112249
12.875,120.625,1.6157597157838977
17.875,120.125,1.618397957598944
16.875,118.625,1.6406059257759922
16.375,119.125,1.6488737057570018
17.375,118.625,1.6599035695865014
16.375,118.625,1.6667090907243656
17.875,119.125,1.6673369049264501
15.375,119.625,1.6689817777786111
16.375,119.625,1.677490673582178
15.875,119.625,1.6831000344992004
12.875,120.125,1.7159793889795818
15.875,119.125,1.7161137736562495
